Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
random_forest,META,rf,6,FS_6,0.4112,0.4223,0.4112,0.3716,"90    0    30
52    0    15
135    0    72"
xgboost,META,xgb,6,FS_6,0.4112,0.4485,0.4112,0.3912,"77    4    39
52    2    13
119    5    83"
logistic_regression,ORCL,lr,6,FS_6,0.3926,0.4078,0.3926,0.3601,"14    27    76
42    43    81
32    5    113"
random_forest,ORCL,rf,6,FS_6,0.3173,0.4221,0.3173,0.3099,"59    21    24
90    26    30
104    0    40"
xgboost,ORCL,xgb,6,FS_6,0.3756,0.4471,0.3756,0.3219,"30    7    67
53    13    80
38    1    105"
logistic_regression,ADBE,lr,6,FS_6,0.4827,0.4229,0.4827,0.4325,"11    8    105
17    23    39
16    39    175"
random_forest,ADBE,rf,6,FS_6,0.4797,0.3592,0.4797,0.4017,"20    2    87
12    0    63
40    1    169"
xgboost,ADBE,xgb,6,FS_6,0.4721,0.4323,0.4721,0.4351,"27    9    73
28    6    41
52    5    153"
logistic_regression,TSLA,lr,6,FS_6,0.3095,0.4641,0.3095,0.2907,"78    16    33
8    8    3
201    38    48"
random_forest,TSLA,rf,6,FS_6,0.3706,0.5529,0.3706,0.3546,"80    0    25
16    0    3
201    3    66"
xgboost,TSLA,xgb,6,FS_6,0.3223,0.4845,0.3223,0.2777,"84    0    21
12    0    7
226    1    43"
logistic_regression,AMD,lr,6,FS_6,0.5635,0.4633,0.5635,0.4779,"18    0    128
7    0    27
27    0    226"
random_forest,AMD,rf,6,FS_6,0.5457,0.4587,0.5457,0.4684,"19    1    116
1    0    29
32    0    196"
xgboost,AMD,xgb,6,FS_6,0.5635,0.4731,0.5635,0.4839,"20    0    116
7    0    23
26    0    202"
logistic_regression,NVDA,lr,6,FS_6,0.3672,0.471,0.3672,0.3279,"103    2    31
36    0    2
203    0    56"
random_forest,NVDA,rf,6,FS_6,0.4695,0.5995,0.4695,0.4663,"69    0    44
24    1    12
129    0    115"
xgboost,NVDA,xgb,6,FS_6,0.4695,0.5086,0.4695,0.4632,"70    0    43
25    0    12
129    0    115"
logistic_regression,QQQ,lr,6,FS_6,0.3095,0.6016,0.3095,0.2602,"89    3    9
115    29    0
168    4    16"
random_forest,QQQ,rf,6,FS_6,0.264,0.5571,0.264,0.1973,"77    2    7
114    11    4
161    2    16"
xgboost,QQQ,xgb,6,FS_6,0.2893,0.4891,0.2893,0.2713,"57    2    27
91    13    25
132    3    44"
logistic_regression,MSFT,lr,7,FS_7,0.3256,0.3953,0.3256,0.2684,"94    4    16
106    0    6
155    5    47"
random_forest,MSFT,rf,7,FS_7,0.3395,0.3758,0.3395,0.3205,"64    40    10
29    46    37
123    45    36"
xgboost,MSFT,xgb,7,FS_7,0.3279,0.3727,0.3279,0.2971,"49    59    6
19    65    28
88    89    27"
logistic_regression,AAPL,lr,7,FS_7,0.3603,0.5214,0.3603,0.3481,"15    55    36
2    69    2
21    161    72"
random_forest,AAPL,rf,7,FS_7,0.3465,0.4284,0.3465,0.3641,"35    33    38
17    29    27
84    82    85"
xgboost,AAPL,xgb,7,FS_7,0.3698,0.4378,0.3698,0.38,"53    17    36
24    19    30
113    51    87"
logistic_regression,GOOG,lr,7,FS_7,0.3926,0.4485,0.3926,0.3814,"73    13    34
50    50    10
114    42    47"
random_forest,GOOG,rf,7,FS_7,0.393,0.425,0.393,0.3745,"74    8    38
64    12    34
103    14    83"
xgboost,GOOG,xgb,7,FS_7,0.3884,0.4338,0.3884,0.3701,"83    16    21
70    13    27
109    20    71"
logistic_regression,META,lr,7,FS_7,0.321,0.442,0.321,0.3206,"30    81    25
10    53    12
59    107    56"
random_forest,META,rf,7,FS_7,0.3674,0.3845,0.3674,0.3738,"37    35    64
18    23    33
76    46    98"
xgboost,META,xgb,7,FS_7,0.3907,0.3946,0.3907,0.3916,"36    32    68
16    18    40
64    42    114"
logistic_regression,ORCL,lr,7,FS_7,0.3764,0.3976,0.3764,0.3505,"36    67    14
50    105    11
64    64    22"
random_forest,ORCL,rf,7,FS_7,0.4465,0.4408,0.4465,0.439,"30    64    23
25    100    38
47    41    62"
xgboost,ORCL,xgb,7,FS_7,0.4047,0.3947,0.4047,0.3608,"25    73    19
26    124    13
39    86    25"
logistic_regression,ADBE,lr,7,FS_7,0.4319,0.4627,0.4319,0.433,"39    30    55
10    51    18
67    66    97"
random_forest,ADBE,rf,7,FS_7,0.3581,0.4675,0.3581,0.3443,"78    20    26
47    27    4
126    53    49"
xgboost,ADBE,xgb,7,FS_7,0.3581,0.4633,0.3581,0.3274,"81    19    24
40    36    2
143    48    37"
logistic_regression,TSLA,lr,7,FS_7,0.3441,0.4596,0.3441,0.391,"31    27    69
3    1    15
90    80    117"
random_forest,TSLA,rf,7,FS_7,0.4256,0.4876,0.4256,0.4324,"66    0    60
5    0    14
166    2    117"
xgboost,TSLA,xgb,7,FS_7,0.4442,0.5025,0.4442,0.4513,"67    0    59
5    0    14
158    3    124"
logistic_regression,AMD,lr,7,FS_7,0.5982,0.5503,0.5982,0.5114,"22    3    121
2    0    32
14    2    237"
random_forest,AMD,rf,7,FS_7,0.486,0.4874,0.486,0.4716,"27    23    96
8    2    22
35    37    180"
xgboost,AMD,xgb,7,FS_7,0.5302,0.5225,0.5302,0.5197,"44    16    86
10    1    21
45    24    183"
logistic_regression,NVDA,lr,7,FS_7,0.4018,0.4764,0.4018,0.4272,"55    26    55
22    3    13
104    39    116"
random_forest,NVDA,rf,7,FS_7,0.4326,0.4725,0.4326,0.4381,"64    10    61
25    1    11
132    5    121"
xgboost,NVDA,xgb,7,FS_7,0.414,0.5074,0.414,0.4203,"81    15    39
29    1    7
147    15    96"
logistic_regression,QQQ,lr,7,FS_7,0.3995,0.4821,0.3995,0.3918,"53    22    26
53    86    5
119    35    34"
random_forest,QQQ,rf,7,FS_7,0.3977,0.4958,0.3977,0.417,"50    12    39
72    57    14
99    23    64"
xgboost,QQQ,xgb,7,FS_7,0.3465,0.4969,0.3465,0.349,"64    10    27
94    30    19
123    8    55"
